,2023-07-15,2023-07-22,2023-07-29,2023-08-05,2023-08-12,2023-08-19,2023-08-26,2023-09-02,2023-09-09,2023-09-16,2023-09-23,2023-09-30,2023-10-07,2023-10-14,2023-10-21,2023-10-28,2023-11-04,2023-11-11,2023-11-18,2023-11-25,2023-12-02,2023-12-09,2023-12-16,2023-12-23,2023-12-30,2024-01-06,2024-01-13,2024-01-20,2024-01-27,2024-02-03,2024-02-10,2024-02-17,2024-02-24,2024-03-02,2024-03-09,2024-03-16,2024-03-23,2024-03-30,2024-04-06,2024-04-13,2024-04-20,2024-04-27,2024-05-04,2024-05-11,2024-05-18,2024-05-25,2024-06-01,2024-06-08,2024-06-15,2024-06-22,2024-06-29
42,,,,,,,,,,,,,,PROFARMA,V2i,EQUINOR,OLX (Bom Negócio),EQUINOR,V2i,EQUINOR,EQUINOR,ALIANSCE,V2i,F,F,CYMI ,CYMI ,CYMI ,PETROMAIS (Origem Energia),V2i,V2i,BR MALLS,BR MALLS,BR MALLS,BR MALLS,EQUINOR,OLX (Bom Negócio),PORTO SUDESTE,,V2i,V2i,EQUINOR,PROFARMA,PROFARMA,WSUT (Magalhanes Navegação),ALIANSCE,,,F,F,
43,,,,,,,,,,,,,,TECHNOS,PEUGEOT CITROEN (BH),EQUINOR,TECHNOS,EQUINOR,PEUGEOT CITROEN (BH),EQUINOR,EQUINOR,ALIANSCE,V2i,F,F,D1000,GLOBO - EDITORA GLOBO S.A.,GLOBO - EDITORA GLOBO S.A.,PETROMAIS (Origem Energia),V2i,V2i,BR MALLS,BR MALLS,BR MALLS,BR MALLS,EQUINOR,TECHNOS,WSUT (Magalhanes Navegação),,PEUGEOT CITROEN (BH),PEUGEOT CITROEN (BH),EQUINOR,TECHNOS,OLX (Bom Negócio),MRO,ALIANSCE,,,F,F,
44,,,,,,,,,,,,,,D1000,PEUGEOT CITROEN (BH),PEUGEOT CITROEN (BH),SILIMED,PEUGEOT CITROEN (BH),PEUGEOT CITROEN (BH),V2i,V2i,V2i,PETROMAIS (Origem Energia),F,F,PORTO SUDESTE,D1000,D1000,COCA COLA,PETROMAIS (Origem Energia),PETROMAIS (Origem Energia),GGSH,GGSH,ALIANSCE,ALIANSCE,PEUGEOT CITROEN (BH),D1000,CASA GRANADO,,PEUGEOT CITROEN (BH),PEUGEOT CITROEN (BH),PEUGEOT CITROEN (BH),D1000,GLOBO - EDITORA GLOBO S.A.,,V2i,,,F,F,
45,,,,,,,,,,,,,,SILIMED,EVOLTZ,PEUGEOT CITROEN (BH),ALMAVIVA,PEUGEOT CITROEN (BH),PETROMAIS (Origem Energia),V2i,V2i,V2i,PETROMAIS (Origem Energia),F,F,INSPIRA MUNDANÇA PART.,CLUBE DE REGATAS DO FLAMENGO,CLUBE DE REGATAS DO FLAMENGO,CATARATAS DO IGUAÇU,PETROMAIS (Origem Energia),PETROMAIS (Origem Energia),GGSH,GGSH,ALIANSCE,ALIANSCE,PEUGEOT CITROEN (BH),SILIMED,KATRIUM,,EVOLTZ,EVOLTZ,PEUGEOT CITROEN (BH),SILIMED,PORTO SUDESTE,,V2i,,,F,F,
46,,,,,,,,,,,,,,PORTO SUDESTE,PROFARMA,EVOLTZ,CASA GRANADO,EVOLTZ,PETROMAIS (Origem Energia),PEUGEOT CITROEN (BH),PETROMAIS (Origem Energia),PETROMAIS (Origem Energia),COCA COLA,F,F,SAPURA,PORTO SUDESTE,PORTO SUDESTE,CYMI ,COCA COLA,COCA COLA,ALIANSCE,ALIANSCE,EQUINOR,EQUINOR,EVOLTZ,PORTO SUDESTE,OCEÂNICA ENGENHARIA,,CATARATAS DO IGUAÇU,CATARATAS DO IGUAÇU,TECHNOS,PORTO SUDESTE,WSUT (Magalhanes Navegação),,PETROMAIS (Origem Energia),,,F,F,
47,,,,,,,,,,,,,,SAPURA,OLX (Bom Negócio),PROFARMA,KATRIUM,PROFARMA,EVOLTZ,PEUGEOT CITROEN (BH),PETROMAIS (Origem Energia),PETROMAIS (Origem Energia),CATARATAS DO IGUAÇU,F,F,NATIONAL OIL,ALMAVIVA,ALMAVIVA,GLOBO - EDITORA GLOBO S.A.,CATARATAS DO IGUAÇU,CATARATAS DO IGUAÇU,ALIANSCE,ALIANSCE,EQUINOR,EQUINOR,PROFARMA,WSUT (Magalhanes Navegação),BRAMEX,,TECHNOS,TECHNOS,D1000,SAPURA,MRO,,PETROMAIS (Origem Energia),,,F,F,
48,,,,,,,,,,,,,,PETRONAS,TECHNOS,OLX (Bom Negócio),OCEÂNICA ENGENHARIA,OLX (Bom Negócio),PROFARMA,PETROMAIS (Origem Energia),GLOBO - EDITORA GLOBO S.A.,COCA COLA,CYMI ,F,F,FAZENDA AGRO SB (Opportunity),INSPIRA MUNDANÇA PART.,INSPIRA MUNDANÇA PART.,CLUBE DE REGATAS DO FLAMENGO,CYMI ,CYMI ,EQUINOR,EQUINOR,PEUGEOT CITROEN (BH),PEUGEOT CITROEN (BH),OLX (Bom Negócio),CASA GRANADO,PARANAÍBA (PTE),,SILIMED,SILIMED,SILIMED,,,,COCA COLA,,,F,F,
49,,,,,,,,,,,,,,PARANAÍBA (PTE),D1000,TECHNOS,BRAMEX,TECHNOS,TECHNOS,PETROMAIS (Origem Energia),CLUBE DE REGATAS DO FLAMENGO,CATARATAS DO IGUAÇU,GLOBO - EDITORA GLOBO S.A.,F,F,SUPERMERCADO ZONA SUL,MRO,MRO,ALMAVIVA,GLOBO - EDITORA GLOBO S.A.,GLOBO - EDITORA GLOBO S.A.,EQUINOR,EQUINOR,PEUGEOT CITROEN (BH),PEUGEOT CITROEN (BH),TECHNOS,KATRIUM,CANAL DE ISABEL II (Emissão S.A.),,CASA GRANADO,CASA GRANADO,SAPURA,,,,OLX (Bom Negócio),,,F,F,
50,,,,,,,,,,,,,,Matrincha Transm. de Energia (MTE),SILIMED,SILIMED,PARANAÍBA (PTE),SILIMED,SILIMED,GLOBO - EDITORA GLOBO S.A.,WSUT (Magalhanes Navegação),CYMI ,D1000,F,F,TEEKAY,SAPURA,DELLY COSMETICOS,INSPIRA MUNDANÇA PART.,CLUBE DE REGATAS DO FLAMENGO,CLUBE DE REGATAS DO FLAMENGO,V2i,V2i,EVOLTZ,EVOLTZ,D1000,OCEÂNICA ENGENHARIA,FARSTAD SHIPPING,,PARANAÍBA (PTE),Matrincha Transm. de Energia (MTE),PETRONAS,,,,GLOBO - EDITORA GLOBO S.A.,,,F,F,
51,,,,,,,,,,,,,,DESCOMPLICA,PORTO SUDESTE,ALMAVIVA,CANAL DE ISABEL II (Emissão S.A.),ALMAVIVA,CLUBE DE REGATAS DO FLAMENGO,CLUBE DE REGATAS DO FLAMENGO,MRO,GLOBO - EDITORA GLOBO S.A.,PORTO SUDESTE,F,F,EDISON CHOUEST (BRAM) ,DELLY COSMETICOS,NATIONAL OIL,MRO,ALMAVIVA,ALMAVIVA,V2i,V2i,PROFARMA,PROFARMA,SILIMED,BRAMEX,BUREAU VERITAS,,,,DESCOMPLICA,,,,WSUT (Magalhanes Navegação),,,F,F,
