,2023-07-15,2023-07-22,2023-07-29,2023-08-05,2023-08-12,2023-08-19,2023-08-26,2023-09-02,2023-09-09,2023-09-16,2023-09-23,2023-09-30,2023-10-07,2023-10-14,2023-10-21,2023-10-28,2023-11-04,2023-11-11,2023-11-18,2023-11-25,2023-12-02,2023-12-09,2023-12-16,2023-12-23,2023-12-30,2024-01-06,2024-01-13,2024-01-20,2024-01-27,2024-02-03,2024-02-10,2024-02-17,2024-02-24,2024-03-02,2024-03-09,2024-03-16,2024-03-23,2024-03-30,2024-04-06,2024-04-13,2024-04-20,2024-04-27,2024-05-04,2024-05-11,2024-05-18,2024-05-25,2024-06-01,2024-06-08,2024-06-15,2024-06-22,2024-06-29
80,,,,,,,,,,,,,,,GLOBO - AERO RIO,GLOBO - AERO RIO,FAZENDA FUTURO,ALLSEAS,ALLSEAS,COCA COLA INSTITUTO,GLOBO - FAMILY OFFICE,,FUNDO PATRIMONIAL RJZ,F,F,JOTUN IND. TINTAS,ARAGUAIA/DESIDERATA,CHANNEL (EUROPRESTIGIO),QV SAUDE,CALEFFI BRASIL AUP,Planeta / DeAgostini,QV SAUDE,ESSECO DO BRASIL,H. STTRATNER,,"CLARKE, MODET Y CIA. S.L. BRASIL",ALLSEAS,,,,,,,,,,,,F,F,
81,,,,,,,,,,,,,,,Planeta / DeAgostini,TI LATAM AUP,TI LATAM AUP,,,,ITAGUAI (ICN),,Geogas,F,F,Geogas,,GALP,PETRO CHINA,,,ESSECO DO BRASIL,PETRO CHINA,ITAGUAI (ICN),,HI MIDIA,,,,,,,,,,,,,F,F,
82,,,,,,,,,,,,,,,,,,,,,JOTUN IND. TINTAS,,,F,F,,,GLOBO - FAMILY OFFICE,ARCHER,,,PETRO CHINA,SuaTV e Influency.me,CNOOC,,Fundação Euclides da Cunha,,,,,,,,,,,,,F,F,
83,,,,,,,,,,,,,,,,,,,,,NAVAL GROUP,,,F,F,,,JOTUN IND. TINTAS,QUANTUM,,,SuaTV e Influency.me,ARCHER,QV SAUDE,,UFI Filter,,,,,,,,,,,,,F,F,
84,,,,,,,,,,,,,,,,,,,,,COCA COLA INSTITUTO,,,F,F,,,ARAGUAIA/DESIDERATA,INSTITUTO DA CRIANÇA,,,ARCHER,STEAG,ESSECO DO BRASIL,,GREEN OIL,,,,,,,,,,,,,F,F,
85,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,CALEFFI BRASIL AUP,,,STEAG,QUANTUM,EVER BRASIL ,,FUNDO PATRIMONIAL RJZ,,,,,,,,,,,,,F,F,
86,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,QUANTUM,MARLIN AZUL,PETRO CHINA,,GLOBO - AERO RIO,,,,,,,,,,,,,F,F,
87,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,MARLIN AZUL,INSTITUTO DA CRIANÇA,SuaTV e Influency.me,,FAZENDA FUTURO,,,,,,,,,,,,,F,F,
88,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,INSTITUTO DA CRIANÇA,CONFIANCE MEDICAL,"CLARKE, MODET Y CIA. S.L. BRASIL",,TI LATAM AUP,,,,,,,,,,,,,F,F,
89,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,CONFIANCE MEDICAL,VITOL,ARCHER,,ALLSEAS,,,,,,,,,,,,,F,F,
