priority,client,nome_retain,renocao_prevista,fy24_total_hours,horas_demanda,trimestral,senior,staff3,staff2,trainee,horas_locadas,01-07-2023,08-07-2023,15-07-2023,22-07-2023,29-07-2023,05-08-2023,12-08-2023,19-08-2023,26-08-2023,02-09-2023,09-09-2023,16-09-2023,23-09-2023,30-09-2023,07-10-2023,14-10-2023,21-10-2023,28-10-2023,04-11-2023,11-11-2023,18-11-2023,25-11-2023,02-12-2023,09-12-2023,16-12-2023,23-12-2023,30-12-2023,06-01-2024,13-01-2024,20-01-2024,27-01-2024,03-02-2024,10-02-2024,17-02-2024,24-02-2024,02-03-2024,09-03-2024,16-03-2024,23-03-2024,30-03-2024,06-04-2024,13-04-2024,20-04-2024,27-04-2024,04-05-2024,11-05-2024,18-05-2024,25-05-2024,01-06-2024,08-06-2024,15-06-2024,22-06-2024
7,TEEKAY,TEEKAY, Yes ,2200,1309,No,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
7,CANAL DE ISABEL II (Emissão S.A.),CANAL ISABEL, Yes ,2150,1613,No,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
7,DOMINOS (DP Brasil Participações),DOMINOS, Yes ,2105,1236,No,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
7,EDISON CHOUEST (BRAM) ,BRAM, Yes ,2000,1400,No,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
7,FARSTAD SHIPPING,FARSTAD, Yes ,2000,1500,No,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
7,BEMISA (Opportunity),BEMISA, Yes ,2000,1143,No,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
7,BUREAU VERITAS,BV, Yes ,2000,1370,No,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
7,BARCELOS,BARCELOS, Yes ,2000,1500,No,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
7,PUIG O'NIQUE,PUIG, Yes ,2000,1500,No,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
7,S2,S2, Yes ,1900,1210,No,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
7,CONEXA SAÚDE,CONEXA, Yes ,1900,1425,No,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
