,2023-07-15,2023-07-22,2023-07-29,2023-08-05,2023-08-12,2023-08-19,2023-08-26,2023-09-02,2023-09-09,2023-09-16,2023-09-23,2023-09-30,2023-10-07,2023-10-14,2023-10-21,2023-10-28,2023-11-04,2023-11-11,2023-11-18,2023-11-25,2023-12-02,2023-12-09,2023-12-16,2023-12-23,2023-12-30,2024-01-06,2024-01-13,2024-01-20,2024-01-27,2024-02-03,2024-02-10,2024-02-17,2024-02-24,2024-03-02,2024-03-09,2024-03-16,2024-03-23,2024-03-30,2024-04-06,2024-04-13,2024-04-20,2024-04-27,2024-05-04,2024-05-11,2024-05-18,2024-05-25,2024-06-01,2024-06-08,2024-06-15,2024-06-22,2024-06-29
62,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,ARAGUAIA/DESIDERATA,CALEFFI BRASIL AUP,ESSECO DO BRASIL,,UFI Filter,,,,,,,,,,,,,F,F,
63,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,CALEFFI BRASIL AUP,Planeta / DeAgostini,EVER BRASIL ,,GREEN OIL,,,,,,,,,,,,,F,F,
64,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,Planeta / DeAgostini,COCA COLA INSTITUTO,PETRO CHINA,,FUNDO PATRIMONIAL RJZ,,,,,,,,,,,,,F,F,
65,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,COCA COLA INSTITUTO,,SuaTV e Influency.me,,GLOBO - AERO RIO,,,,,,,,,,,,,F,F,
66,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,"CLARKE, MODET Y CIA. S.L. BRASIL",,FAZENDA FUTURO,,,,,,,,,,,,,F,F,
67,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,ARCHER,,TI LATAM AUP,,,,,,,,,,,,,F,F,
68,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,STEAG,,ALLSEAS,,,,,,,,,,,,,F,F,
69,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,Fundação Euclides da Cunha,,,,,,,,,,,,,,,F,F,
70,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,QUANTUM,,,,,,,,,,,,,,,F,F,
71,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,MARLIN AZUL,,,,,,,,,,,,,,,F,F,
72,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,GREEN OIL,,,,,,,,,,,,,,,F,F,
73,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,INSTITUTO DA CRIANÇA,,,,,,,,,,,,,,,F,F,
74,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,CONFIANCE MEDICAL,,,,,,,,,,,,,,,F,F,
75,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,GLOBO - AERO RIO,,,,,,,,,,,,,,,F,F,
76,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,VITOL,,,,,,,,,,,,,,,F,F,
77,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,NAVAL GROUP,,,,,,,,,,,,,,,F,F,
78,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,Geogas,,,,,,,,,,,,,,,F,F,
79,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,ARAGUAIA/DESIDERATA,,,,,,,,,,,,,,,F,F,
80,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,CALEFFI BRASIL AUP,,,,,,,,,,,,,,,F,F,
81,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,Planeta / DeAgostini,,,,,,,,,,,,,,,F,F,
82,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,TI LATAM AUP,,,,,,,,,,,,,,,F,F,
83,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,COCA COLA INSTITUTO,,,,,,,,,,,,,,,F,F,
84,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,F,F,
85,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,F,F,
86,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,F,F,
87,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,F,F,
88,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,F,F,
89,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,F,F,
90,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,F,F,
